mileage,make,model,fuel,gear,offerType,price,hp,year,price_log,car_age,pred,residual,abs_error
235000,Opel,Astra,Diesel,Manual,Used,4900,"165,0",2014,"8,496990484098719",8,"8,710480979958357","-0,21349049585963797","0,21349049585963797"
42500,Volkswagen,Polo,Gasoline,Manual,Used,11990,"90,0",2017,"9,39182824802156",5,"9,204607360672936","0,18722088734862297","0,18722088734862297"
106000,Renault,Kangoo,Diesel,Manual,Used,7400,"90,0",2016,"8,909235279192261",6,"9,039833810989549","-0,13059853179728798","0,13059853179728798"
55315,Volkswagen,Golf,Gasoline,Manual,Used,11290,"140,0",2013,"9,331672657143708",9,"9,222530551254446","0,1091421058892621","0,1091421058892621"
196500,Ford,Focus,Diesel,Manual,Used,5990,"116,0",2012,"8,697846691109495",10,"8,632880909124795","0,06496578198470004","0,06496578198470004"
12,Opel,Corsa,Gasoline,Manual,Pre-registered,19980,"101,0",2021,"9,902487052202545",1,"9,775403442058973","0,12708361014357195","0,12708361014357195"
82260,Opel,Astra,Diesel,Manual,Used,8490,"131,0",2013,"9,046644279305394",9,"9,102114110277673","-0,055469830972279865","0,055469830972279865"
69900,Opel,Corsa,Gasoline,Manual,Used,5999,"87,0",2014,"8,699348067653093",8,"8,83984008523167","-0,14049201757857688","0,14049201757857688"
160000,Volkswagen,Passat Variant,Diesel,Automatic,Used,13000,"170,0",2012,"9,472704636443673",10,"9,254767209213526","0,2179374272301473","0,2179374272301473"
97600,Opel,Astra,Gasoline,Manual,Used,8740,"140,0",2015,"9,07566546864958",7,"9,247529121036559","-0,17186365238697832","0,17186365238697832"
149000,Ford,Tourneo Connect,Diesel,Manual,Used,9990,"116,0",2014,"9,2093398716426",8,"8,882659355989736","0,32668051565286405","0,32668051565286405"
126674,Volkswagen,Sharan,Diesel,Manual,Used,14390,"140,0",2012,"9,574288799881414",10,"9,156085487063313","0,4182033128181004","0,4182033128181004"
50500,Skoda,Rapid/Spaceback,Gasoline,Manual,Used,9990,"105,0",2015,"9,2093398716426",7,"9,299751870548322","-0,09041199890572216","0,09041199890572216"
70950,Opel,Corsa,Gasoline,Manual,Used,7950,"90,0",2015,"8,980927207648378",7,"8,988837268885835","-0,007910061237456745","0,007910061237456745"
62500,Opel,Corsa,Gasoline,Manual,Used,10999,"150,0",2017,"9,305559638557117",5,"9,713269229068779","-0,40770959051166145","0,40770959051166145"
40000,Opel,Corsa,Gasoline,Manual,Used,6900,"87,0",2013,"8,83927669058535",9,"8,833868789894503","0,0054079006908480665","0,0054079006908480665"
54119,Volkswagen,Golf Variant,Diesel,Manual,Used,13855,"116,0",2017,"9,536401457297078",5,"9,549243255021205","-0,012841797724126636","0,012841797724126636"
63765,Volkswagen,Golf Plus,Gasoline,Manual,Used,6250,"86,0",2011,"8,740336742730447",11,"8,79646318234384","-0,056126439613393586","0,056126439613393586"
40000,Opel,Astra,Gasoline,Automatic,Used,7100,"116,0",2012,"8,867850063029406",10,"9,070103109306599","-0,20225304627719254","0,20225304627719254"
50580,Ford,Fiesta,Gasoline,Manual,Used,8980,"86,0",2018,"9,102755161296246",4,"9,292330068186832","-0,1895749068905861","0,1895749068905861"
64390,Volkswagen,up!,Gasoline,Manual,Used,8430,"75,0",2016,"9,039552050995901",6,"8,93785038783068","0,10170166316522078","0,10170166316522078"
176356,Skoda,Octavia,Diesel,Manual,Used,11480,"150,0",2015,"9,348361669873558",7,"9,242798290152432","0,10556337972112573","0,10556337972112573"
77769,Volkswagen,Polo,Gasoline,Manual,Used,6499,"69,0",2013,"8,77940359789435",9,"8,70708148164292","0,07232211625142959","0,07232211625142959"
16703,Volkswagen,Tiguan,Diesel,Automatic,Used,39850,"190,0",2019,"10,592877684218362",3,"10,389346981909213","0,20353070230914838","0,20353070230914838"
74414,Volkswagen,Phaeton,Diesel,Automatic,Used,26440,"245,0",2015,"10,182633293965623",7,"10,255816788485257","-0,07318349451963435","0,07318349451963435"
71000,Opel,Mokka,Gasoline,Manual,Used,12900,"140,0",2016,"9,464982590349763",6,"9,363921550380773","0,10106103996898952","0,10106103996898952"
52246,Volkswagen,Golf,Gasoline,Manual,Used,11900,"86,0",2015,"9,38429367909962",7,"9,192659180029514","0,19163449907010666","0,19163449907010666"
83800,Opel,Astra,Diesel,Manual,Used,8280,"110,0",2017,"9,021598247379305",5,"9,274944147892082","-0,2533459005127767","0,2533459005127767"
104670,Volkswagen,Phaeton,Gasoline,Automatic,Used,19470,"334,0",2013,"9,876630098366245",9,"9,977948238764757","-0,1013181403985115","0,1013181403985115"
21500,Ford,Ranger,Diesel,Manual,Used,25400,"131,0",2019,"10,142504453006628",3,"9,986893190332838","0,15561126267379066","0,15561126267379066"
40000,Renault,Twingo,Gasoline,Automatic,Used,5699,"75,0",2012,"8,648045999835",10,"8,815058994227766","-0,16701299439276518","0,16701299439276518"
40000,Skoda,Octavia,Gasoline,Manual,Used,17839,"150,0",2017,"9,789142350751268",5,"9,709774391954866","0,0793679587964018","0,0793679587964018"
89900,Volkswagen,Polo,Gasoline,Manual,Used,7750,"90,0",2013,"8,955448122347393",9,"8,83776404382745","0,11768407851994311","0,11768407851994311"
23174,Opel,Astra,Diesel,Manual,Used,17980,"122,0",2020,"9,79701530802561",2,"10,159289385548066","-0,36227407752245533","0,36227407752245533"
95000,Skoda,Superb,Diesel,Automatic,Used,17980,"190,0",2016,"9,79701530802561",6,"9,953902825036906","-0,15688751701129533","0,15688751701129533"
40200,Skoda,Fabia,Diesel,Manual,Used,11460,"90,0",2017,"9,346617990268731",5,"9,286496718618382","0,06012127165034897","0,06012127165034897"
28142,Volkswagen,Polo,Gasoline,Manual,Used,10990,"75,0",2016,"9,304741047397666",6,"9,047422609681513","0,2573184377161528","0,2573184377161528"
50,Opel,Astra,Gasoline,Manual,Pre-registered,16940,"110,0",2021,"9,737432968206045",1,"9,925356407023447","-0,1879234388174016","0,1879234388174016"
93684,Opel,Astra,Diesel,Manual,Used,7250,"110,0",2014,"8,88875674784872",8,"9,129158866246923","-0,2404021183982028","0,2404021183982028"
100000,Volkswagen,Caddy,Diesel,Manual,Used,18450,"122,0",2017,"9,822819649468673",5,"9,616889111458612","0,20593053801006178","0,20593053801006178"
125427,Opel,Insignia,Diesel,Automatic,Used,8980,"136,0",2017,"9,102755161296246",5,"9,221432988003915","-0,11867782670766935","0,11867782670766935"
19950,Opel,Adam,Gasoline,Manual,Used,12497,"87,0",2019,"9,433243894485784",3,"9,394386734583815","0,03885715990196914","0,03885715990196914"
