Car_Age,Make,Avg_Price,Count
1,Ford,25690.0,224
1,Opel,21218.0,266
1,Renault,18755.0,318
1,Skoda,21538.0,369
1,Volkswagen,25876.0,262
2,Ford,22506.0,663
2,Opel,18422.0,237
2,Renault,18622.0,312
2,Skoda,21354.0,286
2,Volkswagen,26953.0,649
3,Ford,17588.0,499
3,Opel,14554.0,421
3,Renault,15737.0,275
3,Skoda,18234.0,199
3,Volkswagen,23436.0,532
4,Ford,14971.0,379
4,Opel,12405.0,491
4,Renault,12661.0,167
4,Skoda,17387.0,233
4,Volkswagen,17188.0,566
5,Ford,13362.0,428
5,Opel,10655.0,502
5,Renault,11298.0,205
5,Skoda,14349.0,271
5,Volkswagen,15038.0,724
6,Ford,10256.0,409
6,Opel,9509.0,564
6,Renault,9025.0,333
6,Skoda,10880.0,281
6,Volkswagen,12738.0,659
7,Ford,9484.0,374
7,Opel,9018.0,538
7,Renault,8131.0,289
7,Skoda,9365.0,255
7,Volkswagen,11468.0,669
8,Ford,8605.0,374
8,Opel,8154.0,460
8,Renault,7255.0,204
8,Skoda,8132.0,250
8,Volkswagen,10486.0,591
9,Ford,7797.0,370
9,Opel,7554.0,419
9,Renault,6743.0,140
9,Skoda,7949.0,229
9,Volkswagen,9922.0,645
10,Ford,7362.0,266
10,Opel,6754.0,385
10,Renault,6406.0,131
10,Skoda,6902.0,170
10,Volkswagen,8396.0,612
11,Ford,6892.0,200
11,Opel,6213.0,286
11,Renault,5942.0,122
11,Skoda,6618.0,113
11,Volkswagen,8160.0,639
