Year,Make,Avg_Price,Count
2011,Ford,6892.0,200
2011,Opel,6213.0,286
2011,Renault,5942.0,122
2011,Skoda,6618.0,113
2011,Volkswagen,8160.0,639
2012,Ford,7362.0,266
2012,Opel,6754.0,385
2012,Renault,6406.0,131
2012,Skoda,6902.0,170
2012,Volkswagen,8396.0,612
2013,Ford,7797.0,370
2013,Opel,7554.0,419
2013,Renault,6743.0,140
2013,Skoda,7949.0,229
2013,Volkswagen,9922.0,645
2014,Ford,8605.0,374
2014,Opel,8154.0,460
2014,Renault,7255.0,204
2014,Skoda,8132.0,250
2014,Volkswagen,10486.0,591
2015,Ford,9484.0,374
2015,Opel,9018.0,538
2015,Renault,8131.0,289
2015,Skoda,9365.0,255
2015,Volkswagen,11468.0,669
2016,Ford,10256.0,409
2016,Opel,9509.0,564
2016,Renault,9025.0,333
2016,Skoda,10880.0,281
2016,Volkswagen,12738.0,659
2017,Ford,13362.0,428
2017,Opel,10655.0,502
2017,Renault,11298.0,205
2017,Skoda,14349.0,271
2017,Volkswagen,15038.0,724
2018,Ford,14971.0,379
2018,Opel,12405.0,491
2018,Renault,12661.0,167
2018,Skoda,17387.0,233
2018,Volkswagen,17188.0,566
2019,Ford,17588.0,499
2019,Opel,14554.0,421
2019,Renault,15737.0,275
2019,Skoda,18234.0,199
2019,Volkswagen,23436.0,532
2020,Ford,22506.0,663
2020,Opel,18422.0,237
2020,Renault,18622.0,312
2020,Skoda,21354.0,286
2020,Volkswagen,26953.0,649
2021,Ford,25690.0,224
2021,Opel,21218.0,266
2021,Renault,18755.0,318
2021,Skoda,21538.0,369
2021,Volkswagen,25876.0,262
